Biomarker	GeneExpression
2.71	2500
2.76	1425
3.29	1390
2.88	2189
5.89	3940
5.43	177
1.22	4010
6.14	90
2.88	2046
1.73	23456
1.89	21990
3.33	7737
2.44	13891
3.99	3379
7	200
1.77	9245
3.68	1938
1.9	10723
5.79	353
1.95	3787
2.5	6150
3.8	2215
2.42	417
2.75	1145
5.63	196
4.56	1639
4.26	226
1.72	23785
2.05	12149
2.45	15750
2.01	13185
20.79	194.5
6.8	98
2.28	1317
2.8	1784
7.2	739
2.44	7163
1.15	687
1.7	18788
1.28	23260
2.1	695
2.29	14856
2.66	12012
3.46	345
1.5	9255
1.2	1217
1.66	22351
3.15	3123
5.66	361
1.67	44579
5.02	241
3.82	935
1.3	1117
3.7	2872
2.21	2888
2.48	12435
1.1	1622
6.68	203
6.8	107
4.77	233
4.61	557
1.48	22385
3.3	1259
4.92	242
6.65	127
2.35	3992
1.83	918
1	23499
1.1	14281
2.62	1900
4.9	278
6.29	779
3.5	4388
2.28	4148
4.73	637
1.65	4558
1.55	2545
1.9	11449
1.16	5501
6.7	138
1.77	30265
5.7	819
4.7	300
1.4	601
1.35	22418
4.11	265
1.27	10727
2.1	10323
4.41	1717
5.82	375
7.1	174
2.31	936
3.98	431
3.72	960
1.2	5209
1.95	27281
3.01	467
2.35	678
2.33	5645
1.9	26725
2.7	18816
1.23	18928
2.36	2990
1.32	32540
3.57	1726
1.95	1441
4	367
3.8	468
1.41	571
2.02	8955
2.66	16782
2.64	306
4.78	324
1.1	3212
2.18	5087
3.84	419
6.8	256
3.02	5099
1.64	34504
1.25	3442
1.73	43041
5.7	278
6.1	129
2.9	3748
5.33	1947
3.75	489
8	176
5.42	435
1.8	36445
4.96	7421
5.08	418
3	6179
2.7	3391
4.09	545
3.84	1286
2.86	2053
3.18	924
1.26	4657
1.45	10944
1.89	19083
3.22	30493
1.4	346
2.3	9188
1.32	1698
1.14	2139
5.74	205
2.41	8426
2.27	4994
2.23	2940
4.12	1402
3.99	312
4.53	7724
4.97	479
1.65	1008
2	7850
6.5	164
1.36	20755
1.28	3767
1.14	9463
4.42	760
7.25	110
2.61	2550
1.15	14234
2.01	827
4.39	376
2.45	1965
4.54	1204
1.64	23680
1.41	34449
3.32	4976
3.06	172
1.93	1858
1.9	1723
3.85	438
5.33	273
3.71	1284
1.55	6817
2.01	2077
2.43	2136
2.7	1263
7.1	239
1.15	763
2.82	19816
1.6	24186
5.11	263
2.11	34788
2.3	5514
2.44	418
4.13	1085
